subject,target_distance,condition,perc_dist,sd_perc_dist,sem_perc_dist,logperc_dist,logperc_dist_sem
S007,5,Incongruous room,4.75,0.9574271077563381,0.47871355387816905,0.6766936096248666,-0.31992427610868107
S007,5,Closed headphones,8.5,3,1.5,0.9294189257142927,0.17609125905568124
S007,5,Individualized HRTF,3.5,0.7071067811865476,0.3535533905932738,0.5440680443502757,-0.45154499349597177
S007,5,Real speakers,4,0.408248290463863,0.2041241452319315,0.6020599913279624,-0.690105620855803
S007,5,Non-individualized HRTF,4.875,0.47871355387816905,0.23935677693908453,0.6879746200345557,-0.6209542717726623
S007,6,Incongruous room,8,3.6514837167011076,1.8257418583505538,0.9030899869919435,0.2614393726401688
S007,6,Closed headphones,8.75,2.5,1.25,0.9420080530223133,0.09691001300805642
S007,6,Individualized HRTF,4.25,0.6454972243679028,0.3227486121839514,0.6283889300503115,-0.4911356165197842
S007,6,Real speakers,4.075,0.298607881119482,0.149303940559741,0.6101276130759954,-0.8259287298451887
S007,6,Non-individualized HRTF,5.5,0.408248290463863,0.2041241452319315,0.7403626894942439,-0.690105620855803
S008,1,Incongruous room,0.65,0.3109126351029605,0.15545631755148026,-0.18708664335714442,-0.8083916240743343
S008,1,Closed headphones,1.325,0.5377421934967226,0.2688710967483613,0.12221587827282664,-0.5704558812923568
S008,1,Individualized HRTF,1.375,0.47871355387816905,0.23935677693908453,0.13830269816628146,-0.6209542717726623
S008,1,Real speakers,1.75,0.28867513459481287,0.14433756729740643,0.24303804868629444,-0.8406206186877936
S008,1,Non-individualized HRTF,1.875,0.47871355387816905,0.23935677693908453,0.27300127206373764,-0.6209542717726623
S008,2,Incongruous room,1.8,0.5715476066494082,0.2857738033247041,0.25527250510330607,-0.543977585177565
S008,2,Closed headphones,2.5,1,0.5,0.3979400086720376,-0.3010299956639812
S008,2,Individualized HRTF,2.25,0.28867513459481287,0.14433756729740643,0.3521825181113625,-0.8406206186877936
S008,2,Real speakers,3,0,0,0.47712125471966244,-Inf
S008,2,Non-individualized HRTF,3.125,1.0307764064044151,0.5153882032022076,0.494850021680094,-0.2878655263028066
S008,3,Incongruous room,1.7000000000000002,0.5033222956847168,0.2516611478423584,0.23044892137827397,-0.5991838268834166
S008,3,Closed headphones,3.375,0.47871355387816905,0.23935677693908453,0.5282737771670437,-0.6209542717726623
S008,3,Individualized HRTF,2.875,0.6291528696058958,0.3145764348029479,0.4586378490256493,-0.5022738138753603
S008,3,Real speakers,4.5,1.2909944487358056,0.6454972243679028,0.6532125137753437,-0.19010562085580301
S008,3,Non-individualized HRTF,3.625,0.47871355387816905,0.23935677693908453,0.5593080109070125,-0.6209542717726623
S008,4,Incongruous room,1.775,0.45734742446707466,0.22867371223353733,0.24919835739111287,-0.6407837579472746
S008,4,Closed headphones,3.625,0.9464847243000456,0.4732423621500228,0.5593080109070125,-0.3249163865619815
S008,4,Individualized HRTF,4.375,0.75,0.375,0.640978057358332,-0.42596873227228116
S008,4,Real speakers,4.5,0.5773502691896257,0.28867513459481287,0.6532125137753437,-0.5395906230238124
S008,4,Non-individualized HRTF,4.25,0.5,0.25,0.6283889300503115,-0.6020599913279624
S008,5,Incongruous room,1.7,0.24494897427831783,0.12247448713915891,0.2304489213782739,-0.9119543704721593
S008,5,Closed headphones,3,0.816496580927726,0.408248290463863,0.47712125471966244,-0.3890756251918218
S008,5,Individualized HRTF,3,0.408248290463863,0.2041241452319315,0.47712125471966244,-0.690105620855803
S008,5,Real speakers,5.75,0.5,0.25,0.7596678446896304,-0.6020599913279624
S008,5,Non-individualized HRTF,4.125,1.0307764064044151,0.5153882032022076,0.6154239528859439,-0.2878655263028066
S008,6,Incongruous room,2.425,0.298607881119482,0.149303940559741,0.3847117429382824,-0.8259287298451887
S008,6,Closed headphones,4.5,1.8708286933869707,0.9354143466934853,0.6532125137753437,-0.028995973488843384
S008,6,Individualized HRTF,4.25,0.6454972243679028,0.3227486121839514,0.6283889300503115,-0.4911356165197842
S008,6,Real speakers,6,0,0,0.7781512503836436,-Inf
S008,6,Non-individualized HRTF,4.875,0.6291528696058958,0.3145764348029479,0.6879746200345557,-0.5022738138753603
S009,1,Incongruous room,0.1875,0.02500000000000001,0.012500000000000004,-0.7269987279362623,-1.9030899869919435
S009,1,Closed headphones,0.4,0.11547005383792516,0.05773502691896258,-0.3979400086720376,-1.238560627359831
S009,1,Individualized HRTF,1,0,0,0,-Inf
S009,1,Real speakers,1,0,0,0,-Inf
S009,1,Non-individualized HRTF,1,0,0,0,-Inf
S009,2,Incongruous room,0.325,0.12583057392117916,0.06291528696058958,-0.4881166390211256,-1.2012438182113792
S009,2,Closed headphones,0.7,0.5416025603090641,0.27080128015453203,-0.1549019599857432,-0.5673492869487281
S009,2,Individualized HRTF,2,0,0,0.3010299956639812,-Inf
S009,2,Real speakers,2.125,0.6291528696058958,0.3145764348029479,0.32735893438633035,-0.5022738138753603
